iter	Passed	Remaining
0	0	90
1	1	79
2	2	75
3	2	66
4	3	66
5	4	66
6	4	64
7	5	62
8	6	61
9	6	61
10	7	60
11	8	60
12	8	59
13	9	58
14	10	58
15	10	57
16	11	57
17	12	56
18	13	56
19	14	56
20	14	55
21	15	55
22	16	54
23	17	54
24	18	54
25	19	54
26	20	54
27	21	54
28	22	53
29	23	53
30	24	53
31	24	53
32	25	52
33	26	52
34	27	51
35	28	50
36	29	50
37	30	49
38	31	48
39	32	48
40	32	47
41	33	45
42	33	44
43	34	44
44	35	43
45	36	42
46	36	41
47	37	40
48	38	39
49	39	39
50	39	38
51	40	37
52	41	36
53	41	35
54	42	34
55	43	33
56	43	33
57	44	32
58	45	31
59	45	30
60	46	29
61	47	29
62	48	28
63	48	27
64	49	26
65	50	25
66	50	24
67	51	24
68	51	23
69	52	22
70	53	21
71	53	20
72	54	20
73	54	19
74	55	18
75	55	17
76	56	16
77	57	16
78	57	15
79	58	14
80	58	13
81	59	13
82	60	12
83	60	11
84	61	10
85	61	10
86	62	9
87	62	8
88	63	7
89	64	7
90	64	6
91	65	5
92	66	4
93	66	4
94	67	3
95	67	2
96	68	2
97	68	1
98	69	0
99	70	0
