iter	Passed	Remaining
0	136	136529
1	137	68668
2	138	46046
3	139	34674
4	140	27922
5	141	23367
6	141	20113
7	142	17677
8	143	15774
9	143	14253
10	144	13018
11	145	11991
12	146	11114
13	147	10371
14	148	9738
15	149	9184
16	150	8695
17	151	8254
18	152	7851
19	154	7572
20	155	7258
21	156	6961
22	157	6691
23	158	6444
24	159	6215
25	160	6000
26	161	5802
27	161	5616
28	162	5450
29	163	5288
30	164	5136
31	165	4993
32	165	4862
33	166	4739
34	168	4640
35	169	4531
36	170	4430
37	171	4330
38	171	4235
39	172	4144
40	173	4057
41	174	3978
42	175	3898
43	175	3822
44	176	3750
45	177	3683
46	178	3619
47	179	3555
48	180	3499
49	181	3450
50	182	3393
51	183	3339
52	183	3287
53	184	3236
54	185	3187
55	186	3140
56	187	3098
57	188	3055
58	189	3014
59	189	2973
60	190	2935
61	191	2895
62	192	2857
63	193	2823
64	193	2788
65	194	2754
66	195	2727
67	197	2700
68	197	2670
69	198	2641
70	199	2612
71	200	2583
72	201	2557
73	202	2529
74	202	2502
75	203	2478
76	204	2453
77	205	2430
78	206	2408
79	207	2385
80	208	2363
81	209	2342
82	209	2318
83	211	2301
84	212	2284
85	213	2265
86	214	2247
87	214	2227
88	215	2209
89	216	2190
90	217	2173
91	218	2154
92	219	2135
93	219	2118
94	220	2101
95	221	2084
96	222	2067
97	223	2052
98	223	2036
99	225	2026
100	226	2014
101	227	2001
102	228	1987
103	229	1973
104	229	1960
105	230	1947
106	231	1935
107	232	1922
108	233	1911
109	234	1899
110	235	1887
111	236	1875
112	237	1864
113	238	1852
114	239	1843
115	240	1834
116	241	1823
117	242	1812
118	243	1802
119	244	1791
120	245	1781
121	245	1769
122	246	1759
123	247	1749
124	248	1739
125	249	1730
126	250	1720
127	251	1711
128	252	1702
129	253	1693
130	253	1684
131	255	1680
132	256	1671
133	257	1663
134	258	1655
135	259	1647
136	260	1639
137	261	1631
138	261	1622
139	262	1614
140	263	1607
141	264	1597
142	265	1589
143	266	1582
144	267	1574
145	268	1567
146	269	1561
147	270	1557
